player,total_runs,bat_avg,bat_sr,total_fours,total_sixes,centuries,fifties,seasons_batted,last_season_bat,total_wickets,bowl_avg,economy,bowl_sr,seasons_bowled,last_season_bowl,best_economy,avg_dots_per_spell,inn_wickets,max_sr_inn,avg_sr_inn,max_6s_inn,max_4s_inn,role,bat_impact,bowl_impact,overall_impact,powerplay_bowler,death_bowler,finisher,anchor,runs_3yr_avg,sr_3yr_avg,wkts_3yr_avg,econ_3yr_avg
Anirudh Singh,63.0,15.75,95.45,6.0,1.0,0.0,0.0,1.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter,10.657763810617848,0.0,10.657763810617848,False,True,False,False,63.0,95.45,0.0,0.0
Ankeet Chavan,11.0,11.0,137.5,2.0,0.0,0.0,0.0,1.0,2012.0,8.0,32.23666666666667,7.010000000000001,25.80666666666667,3.0,2013.0,3.33,13.0,0.0,0.0,0.0,0.0,0.0,bowler,10.841232496487017,25.464670029424127,25.464670029424127,False,True,False,False,11.0,137.5,2.6666666666666665,7.010000000000001
Ankit Bawne,12.0,0.0,100.0,1.0,0.0,0.0,0.0,1.0,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,batter,5.045289855072464,0.0,5.045289855072464,False,True,False,False,12.0,100.0,0.0,0.0
Ankit Rajpoot,24.0,5.553333333333334,69.41666666666667,2.0,1.0,0.0,0.0,3.0,2020.0,24.0,44.13999999999999,9.168333333333333,27.37833333333333,6.0,2020.0,3.5,13.4,10.0,0.0,0.0,0.0,0.0,bowler,5.570811575882036,31.12163246589476,31.12163246589476,False,False,False,False,8.0,69.41666666666667,5.333333333333333,9.906666666666666
Ankit Sharma,87.0,11.0,127.022,7.0,4.0,0.0,0.0,5.0,2017.0,12.0,24.857142857142858,9.065714285714286,20.321428571428573,7.0,2018.0,4.5,10.4,6.0,350.0,285.8333333333333,2.0,2.0,bowler,10.716213063206459,26.70242462455577,26.70242462455577,False,False,False,False,11.666666666666666,127.77333333333333,0.3333333333333333,11.543333333333331
Ankit Soni,7.0,3.5,77.77,0.0,1.0,0.0,0.0,1.0,2017.0,2.0,72.0,7.92,54.5,1.0,2017.0,4.0,12.5,1.0,0.0,0.0,0.0,0.0,bowler,5.191703812608646,25.408737437425962,25.408737437425962,False,True,False,False,7.0,77.77,2.0,7.92
Anmolpreet Singh,29.0,11.25,107.14,3.0,1.0,0.0,0.0,2.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.33,179.16500000000002,1.0,2.0,batter,9.508376592577594,0.0,9.508376592577594,False,True,False,False,14.5,107.14,0.0,0.0
Anrich Nortje,8.0,3.5,66.66,0.0,0.0,0.0,0.0,2.0,2022.0,43.0,20.986666666666668,8.086666666666668,15.556666666666667,3.0,2022.0,3.0,11.25,21.0,0.0,0.0,0.0,0.0,bowler,4.611966762716225,32.789166093469376,32.789166093469376,False,True,False,False,4.0,66.66,14.333333333333334,8.086666666666668
Anuj Rawat,129.0,8.065,54.66,10.0,7.0,0.0,1.0,2.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.42,111.2825,6.0,4.0,batter,6.478660554929598,0.0,6.478660554929598,False,True,False,False,64.5,54.66,0.0,0.0
Anukul Roy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.0,6.675,27.0,2.0,2022.0,5.5,5.5,2.0,0.0,0.0,0.0,0.0,bowler,0.0,20.290730444418966,20.290730444418966,False,True,False,False,0.0,0.0,1.0,6.675
