player,opponent,opp_sr,opp_runs,opp_6s
Graeme Smith,PBKS,175.0,154.0,2.0
Graeme Smith,RCB,128.42000000000002,219.0,4.0
Gurkeerat Mann Singh,DC,236.36,26.0,1.0
Gurkeerat Mann Singh,DEC,241.66,29.0,1.0
Gurkeerat Mann Singh,KKR,186.66,28.0,2.0
Gurkeerat Mann Singh,RPS,170.0,51.0,3.0
Gurkeerat Mann Singh,SRH,135.41,65.0,1.0
Hanuma Vihari,PBKS,117.94,46.0,0.0
Harbhajan Singh,CSK,190.24666666666667,86.0,8.0
Harbhajan Singh,DC,158.32999999999998,43.0,2.0
Harbhajan Singh,DEC,264.81333333333333,118.0,6.0
Harbhajan Singh,KKR,164.22,48.0,2.0
Harbhajan Singh,PBKS,266.66,128.0,12.0
Harbhajan Singh,RPS,150.0,45.0,1.0
Harbhajan Singh,RR,300.0,18.0,2.0
Hardik Pandya,CSK,212.046,83.0,10.0
Hardik Pandya,DC,199.89,129.0,11.0
Hardik Pandya,KKR,205.11374999999998,502.0,29.0
Hardik Pandya,LSG,117.85,66.0,2.0
Hardik Pandya,MI,171.42,24.0,0.0
Hardik Pandya,PBKS,184.02800000000002,167.0,10.0
Hardik Pandya,RCB,210.07375,313.0,18.0
Hardik Pandya,RPS,233.33,35.0,4.0
Hardik Pandya,RR,177.63375,406.0,22.0
Hardik Pandya,SRH,138.025,138.0,4.0
Harpreet Brar,KKR,77.77,28.0,2.0
Harpreet Brar,RCB,143.525,32.0,3.0
Harshal Patel,CSK,225.0,36.0,4.0
Harshal Patel,KKR,166.66,10.0,0.0
Harshal Patel,PBKS,197.8,42.0,2.0
Harshal Patel,RR,148.86,17.0,2.0
Hashim Amla,DC,158.33,19.0,0.0
Hashim Amla,GL,167.91500000000002,338.0,14.0
Hashim Amla,MI,173.33,208.0,12.0
Hashim Amla,RCB,152.63,116.0,6.0
Hashim Amla,SRH,171.42,192.0,4.0
Herschelle Gibbs,CSK,123.80666666666666,183.0,5.0
Herschelle Gibbs,DC,109.61500000000001,53.0,4.0
Herschelle Gibbs,KKR,138.915,202.0,5.0
Herschelle Gibbs,MI,144.12333333333333,143.0,6.0
Herschelle Gibbs,PBKS,129.41,44.0,3.0
Herschelle Gibbs,RCB,137.43571428571428,333.0,17.0
Herschelle Gibbs,RR,178.57,25.0,2.0
Hrithik Shokeen,CSK,89.13,43.0,0.0
Iqbal Abdulla,MI,133.33,20.0,0.0
Irfan Pathan,CSK,159.115,167.0,7.0
Irfan Pathan,DC,190.9,21.0,3.0
Irfan Pathan,DEC,206.89,60.0,5.0
Irfan Pathan,KKR,187.52249999999998,142.0,6.0
Irfan Pathan,MI,250.0,15.0,1.0
Irfan Pathan,RCB,238.26666666666665,52.0,5.0
Irfan Pathan,RR,118.18,39.0,2.0
Ishan Kishan,CSK,156.3725,182.0,11.0
Ishan Kishan,DC,165.84,662.0,31.0
Ishan Kishan,GT,155.17,90.0,2.0
Ishan Kishan,KKR,178.864,240.0,14.0
Ishan Kishan,LSG,76.47,13.0,0.0
Ishan Kishan,MI,137.14,96.0,4.0
Ishan Kishan,PBKS,149.115,45.0,5.0
Ishan Kishan,RCB,177.212,201.0,16.0
Ishan Kishan,RPS,129.16,31.0,2.0
Ishan Kishan,RR,152.0275,376.0,16.0
Ishan Kishan,SRH,173.96,407.0,20.0
JP Duminy,CSK,131.44,152.0,4.0
